/* DATA DESCRIPTION:
Citation:	Barron, John A; Bukry, David; Bischoff, James L (2004): (Table 1) Age calibration points for DSDP Hole 64-480 of the Guaymas Basin, Gulf of California [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.687694, 
	In supplement to: Barron, JA et al. (2004): High resolution paleoceanography of the Guaymas Basin, Gulf of California, during the past 15 000 years. Marine Micropaleontology, 50(3-4), 185-207, https://doi.org/10.1016/S0377-8398(03)00071-9
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 27.901700 * LONGITUDE: -111.655700
	DATE/TIME START: 1978-12-31T00:00:00 * DATE/TIME END: 1978-12-31T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 13.51 m
Event(s):	64-480 * LATITUDE: 27.901700 * LONGITUDE: -111.655700 * DATE/TIME: 1978-12-31T00:00:00 * ELEVATION: -655.0 m * Penetration: 152.1 m * Recovery: 117.3 m * LOCATION: North Pacific/Gulf of California/BASIN * CAMPAIGN: Leg64 (URI: https://doi.org/10.2973/dsdp.proc.64.1982) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 30 cores; 144 m cored; 4.8 m drilled; 81.5 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Age model [ka] (Age model) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov)
	Ageprofile Datum Description (Ageprof dat des) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov)
	Reference/source (Reference) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	39 data points
*/
Depth sed [m]	Age model [ka]	Ageprof dat des	Reference
0.00	1.33	silicoflagellate correlation w/180 cm level of BAM80 E-17	Murray (1982)
1.40	2.70	Magnetic secular variation correlation	(Harris and Karlin, written commun., 2001)
2.20	3.40	Magnetic secular variation correlation	(Harris and Karlin, written commun., 2001)
5.70	6.45	Magnetic secular variation correlation	(Harris and Karlin, written commun., 2001)
7.00	7.60	Magnetic secular variation correlation	(Harris and Karlin, written commun., 2001)
7.70	8.20	Magnetic secular variation correlation	(Harris and Karlin, written commun., 2001)
10.40	11.60	Top Younger Dryas	(Keigwin and Jones, 1990)
10.51	11.83	AMS calendar age on N. deuterei	(Keigwin and Jones, 1990)
10.81	12.34	AMS calendar age on Nuttalides deuterei	(Keigwin and Jones, 1990)
11.15	12.90	Base Younger Dryas	(Keigwin and Jones, 1990)
13.05	14.60	Base Bolling-Allerod	(Keigwin and Jones, 1990; Pide et al., 1999)
13.11	14.73	AMS calendar age on Nuttalides deuterei	(Keigwin and Jones, 1990)
13.51	15.45	AMS calendar age on Nuttalides deuterei	(Keigwin and Jones, 1990)
